Country,happiness_score,gdp_per_cap,soc_supp,freedom_score,generosity_score,corruption_score,LMIC_ind,health_ind
Philippines,0.143144281,-0.305854609,0.248104774,1.125281632,-0.621803402,-0.09133277,1,NA
Honduras,0.125285533,-0.703675751,-0.154317734,NA,0.173133951,-0.408219703,1,0
Belarus,0.106533848,0.371724626,NA,-1.006284565,-0.817956775,0.409553028,1,1
Turkey,0.106533848,0.65148272,0.50384992,-0.898437466,-0.766337466,NA,1,0
Pakistan,0.096711537,NA,-1.639896155,-0.834997995,0.369287324,-0.009555497,0,0
Hong Kong,0.059208168,1.311095839,0.165363698,0.370351937,0.679003176,NA,0,1
Portugal,0.04134942,0.75414624,0.688136864,0.611421923,-1.292854414,-0.990882774,0,1
Serbia,0.030634172,0.207462993,NA,-1.126819558,-0.477269338,-0.725106636,1,0
Greece,-0.005083323,0.666882248,-0.165600609,-2.122819239,NA,-0.714884477,0,1
Lebanon,-0.005083323,0.181797113,NA,0.23712905,0.348639601,0.225554164,1,1
Montenegro,-0.014905634,0.31525969,0.12399316,-1.310794021,-0.714718157,-0.336664589,1,NA
Croatia,-0.038122006,0.566785315,-0.319799888,NA,-0.621803402,-0.765995273,0,1
Dominican Republic,-0.055087816,0.22542911,0.73326836,0.712925076,-0.621803402,-0.081110611,1,0
Algeria,-0.061338378,0.217729346,-0.346126594,-2.465392378,-1.292854414,0.215332004,1,NA
Morocco,-0.09794881,-0.295588257,-1.68878861,-0.035660672,-1.592246405,-0.408219703,1,0
Republic of China,-0.105092309,0.243395226,-0.39125809,0.833460069,-1.561274819,-0.111777088,0,1
Azerbaijan,-0.145274491,0.333225806,-0.319799888,-0.225979082,-1.540627096,0.634440529,1,NA
Tajikistan,-0.147060365,-1.078397601,NA,-1.10144377,0.069895334,-0.817106068,1,0
Macedonia,-0.159561489,0.166397585,-0.026445162,-0.454361175,-0.07463873,-0.633107204,0,0
Jordan,-0.180991986,-0.185224973,0.071339747,0.015090904,-0.518564785,0.205109845,1,NA
Nigeria,-0.18634961,-0.526581178,-0.278429349,NA,0.214429398,-0.837550387,1,0
Kyrgyzstan,-0.207780107,-0.934668672,0.639244409,0.471855089,1.040338337,-0.806883909,1,NA
Bosnia and Herzegovina,-0.209565982,0.053467713,-0.631959404,-1.177571134,0.369287324,NA,1,1
Mongolia,-0.213137731,0.050901125,1.01910117,-0.448017228,0.751270208,-0.837550387,1,0
Vietnam,-0.232782353,-0.45984989,NA,0.966682956,-0.033343283,-0.357108907,1,1
Indonesia,-0.241711727,0.012402304,-0.116708154,0.459167195,3.136082268,-0.980660615,1,0
Bhutan,-0.251534038,-0.251956261,NA,0.478199036,1.897218861,0.583329733,1,0
Somalia,-0.340827775,NA,-2.008470042,1.321943989,0.596412282,1.717989398,1,NA
Cameroon,-0.347078337,-0.921835732,-1.335258555,-0.073724354,0.028599887,-0.725106636,1,0
Bulgaria,-0.384581707,0.410223447,1.011579254,-0.67639932,-1.199939659,-1.072660047,1,NA
Nepal,-0.431907387,-1.204160414,-0.0678157,0.383039831,1.257139433,-0.367331066,1,0
Venezuela,-0.497984753,0.261361342,0.838575185,-2.110131345,-1.282530553,-0.633107204,1,0
Gabon,-0.540845747,0.364024862,-0.308517014,NA,-1.530303234,-0.633107204,1,0
South Africa,-0.571205618,0.117632413,0.616678661,0.319600361,-0.797309051,-0.592218567,1,NA
Iran,-0.586385553,NA,-1.786573518,-0.042004619,1.050662199,0.15399905,1,0
Côte d'Ivoire,-0.618531298,-0.906436204,-1.406716758,NA,-0.353382997,-0.111777088,1,0
Ghana,-0.631032422,-0.775540215,NA,0.211753262,0.327991877,-0.868216864,1,0
Senegal,-0.654248793,-1.193894062,-0.485282041,-0.378233811,-0.435973891,-0.32644243,1,0
Lao People's Democratic Republic,-0.661392292,-0.44701695,-0.797441557,1.017434532,0.513821389,NA,1,0
Tunisia,-0.689073351,0.014968893,NA,-1.234666657,-1.44771234,-0.520663453,1,0
Albania,-0.694430975,0.056034301,-1.613569449,NA,-0.322411412,-0.837550387,1,1
Sierra Leone,-0.707825036,-1.637913788,-1.628613281,-0.701775108,0.596412282,-0.622885045,1,NA
